0,15,2,
5
18,0,1,
7
PreSwap,Craig
23
00000000000000000101,271
00000000000000000010,1391
00000000000000000111,4905
00000000000000000000,216
00000000000000000011,586
00000000000000000001,240
00000000000000000100,182
00000000000000000110,401
PreSwap,Norm
27
00000000000000000101,388
00000000000000000010,1233
00000000000000000111,4808
00000000000000000000,201
00000000000000000011,618
00000000000000000001,373
00000000000000000100,99
00000000000000000110,472
Qiskit,Craig
44
00000000000000000101,1852
00000000000000000010,288
00000000000000000111,2447
00000000000000000000,501
00000000000000000011,694
00000000000000000001,1081
00000000000000000100,862
00000000000000000110,467
Qiskit,Norm
39
00000000000000000101,541
00000000000000000010,1015
00000000000000000111,3061
00000000000000000000,392
00000000000000000011,1022
00000000000000000001,594
00000000000000000100,352
00000000000000000110,1215
6,13,2,
7
PreSwap,Craig
23
00000000000000000101,311
00000000000000000010,699
00000000000000000111,4549
00000000000000000000,214
00000000000000000011,568
00000000000000000001,198
00000000000000000100,251
00000000000000000110,1402
PreSwap,Norm
33
00000000000000000101,545
00000000000000000010,395
00000000000000000111,4383
00000000000000000000,269
00000000000000000011,1201
00000000000000000001,858
00000000000000000100,170
00000000000000000110,371
Qiskit,Craig
41
00000000000000000101,853
00000000000000000010,1197
00000000000000000111,1540
00000000000000000000,820
00000000000000000011,634
00000000000000000001,720
00000000000000000100,975
00000000000000000110,1453
Qiskit,Norm
30
00000000000000000101,681
00000000000000000010,460
00000000000000000111,3665
00000000000000000000,296
00000000000000000011,1060
00000000000000000001,1547
00000000000000000100,102
00000000000000000110,381
12,14,2,
6
PreSwap,Craig
20
00000000000000000101,644
00000000000000000010,772
00000000000000000111,3094
00000000000000000000,516
00000000000000000011,1242
00000000000000000001,525
00000000000000000100,705
00000000000000000110,694
PreSwap,Norm
24
00000000000000000101,637
00000000000000000010,1045
00000000000000000111,2911
00000000000000000000,301
00000000000000000011,1486
00000000000000000001,521
00000000000000000100,291
00000000000000000110,1000
Qiskit,Craig
38
00000000000000000101,532
00000000000000000010,1237
00000000000000000111,2425
00000000000000000000,461
00000000000000000011,952
00000000000000000001,479
00000000000000000100,598
00000000000000000110,1508
Qiskit,Norm
33
00000000000000000101,652
00000000000000000010,1078
00000000000000000111,3194
00000000000000000000,461
00000000000000000011,1150
00000000000000000001,872
00000000000000000100,176
00000000000000000110,609
5,12,9,
6
PreSwap,Craig
17
00000000000000000101,424
00000000000000000010,275
00000000000000000111,4940
00000000000000000000,154
00000000000000000011,478
00000000000000000001,363
00000000000000000100,530
00000000000000000110,1028
PreSwap,Norm
29
00000000000000000101,511
00000000000000000010,669
00000000000000000111,4571
00000000000000000000,205
00000000000000000011,898
